,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.058,0.04985,0.9895263600000002,0.9832851992474153,0.9942715427663325
TinyImageNet (Resize),0.06533482825400061,0.054712424829273264,0.9887461217001325,0.981345238637622,0.9939322480134779
LSUN (Crop),0.0619,0.054099999999999995,0.9883730599999999,0.9811454766061878,0.9937301243346615
LSUN (Resize),0.0502,0.04819999999999999,0.99118016,0.9855408064067658,0.9952802831960809
iSUN,0.05445378151260504,0.049178431372549014,0.9909442240896359,0.9864382153018885,0.9946029662616351
DTD,0.17677304964539006,0.08272836879432624,0.9731409219858156,0.9743439092183592,0.9736620840415586
Stanford Dogs,0.7862383983672676,0.31883072549686575,0.7399125030370766,0.4048119788086322,0.9122670942068756
food,0.36307019020366943,0.11364073388318466,0.9471434498054396,0.7830720464130707,0.9962950871123291
CUB,0.7956706281833617,0.34282580645161287,0.7085500679117147,0.49420213036952726,0.8452076121513903
Calt,0.5210535033957263,0.17206062613881068,0.8969012025840649,0.5362388587766087,0.9882868112074403
places,0.42906564893879906,0.14630990911836578,0.9238638477801269,0.7332417734215932,0.9862371667150889
SVHN,0.03756914566687154,0.042848555623847574,0.9930243392747389,0.9706886519692242,0.9986196659290394
Cifar100,0.5072,0.1637,0.90613248,0.912544496921295,0.8892586999303194
All,0.36964712966043956,0.14683480851198683,0.9226003232400057,0.22020712399913223,0.9985025571894979
