,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0303,0.0393,0.9938136200000001,0.9894492573189004,0.9966853891459839
TinyImageNet (Resize),0.03445112628682091,0.04064412394251351,0.9935235551931506,0.9885766211645477,0.9965905054046744
LSUN (Crop),0.036,0.0421,0.9930052,0.987927011500354,0.9963460592391269
LSUN (Resize),0.0232,0.0347,0.9953542000000001,0.9919735739846263,0.9975481737276646
iSUN,0.024201680672268907,0.03537226890756302,0.9952395070028012,0.9924722824975081,0.9972199519858856
DTD,0.1196808510638298,0.07364680851063829,0.9804493617021277,0.9799948576636145,0.9821435087941741
Stanford Dogs,0.8021769765294718,0.3335430293017153,0.7177726322950582,0.358021321532201,0.9051738773836056
food,0.3773973484360922,0.11994360624573007,0.9445110349812371,0.766717471667509,0.9961171456981681
CUB,0.7812393887945671,0.34366876061120544,0.7099822580645161,0.49954248093086684,0.84817662864746
Calt,0.48699685274142784,0.1662267848269008,0.9037343647507041,0.5414142898969164,0.98940365483922
places,0.3865077839707861,0.13940643035611322,0.930992421954367,0.7401565028365508,0.9879693960887845
SVHN,0.031422864167178856,0.03737507682851875,0.9944031038721575,0.9740496278557382,0.9989198879350063
Cifar100,0.4914,0.1633,0.90701908,0.9115265741609057,0.895419330476507
All,0.35715802316553374,0.14715049199030278,0.9234408182408771,0.20043968468254042,0.9985479617984165
