,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0203,0.0331,0.99519142,0.9919303213334734,0.9972413502992192
TinyImageNet (Resize),0.020385281826521252,0.031757262256650695,0.99551562531852,0.9922725094940942,0.9974879678443873
LSUN (Crop),0.0277,0.037,0.9943767399999999,0.9901941791651107,0.9970528539727355
LSUN (Resize),0.0113,0.02545,0.99692398,0.9949303408010016,0.998206085677717
iSUN,0.011988795518207283,0.026256302521008405,0.9967859719887956,0.9950723026038533,0.997994330145767
DTD,0.11152482269503546,0.07625531914893617,0.980090815602837,0.9785983941657546,0.9824349240451751
Stanford Dogs,0.8337139802711502,0.3565154186306429,0.6880751931580738,0.321780671743136,0.8922301921234328
food,0.4741625988890759,0.1371796191966098,0.9271211976593364,0.7197766960426865,0.9945249270290148
CUB,0.7786078098471987,0.3478541595925297,0.7082816977928693,0.4991726347976903,0.8466754501311187
Calt,0.4915024018552261,0.1691771740930926,0.9011845287394401,0.5435270874752225,0.9890052959072775
places,0.39004969660360783,0.13762421954366988,0.9302762691853601,0.7425206393982262,0.9876224750849854
SVHN,0.02600645359557468,0.03218669330055317,0.9952363322065151,0.9767706118767759,0.9990878456352701
Cifar100,0.532,0.17659999999999998,0.89611272,0.9020708472429912,0.8837230292524647
All,0.38966899589611953,0.15532443314160765,0.915436381613348,0.18316173949424797,0.9983727677330518
