,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0651,0.0558,0.9843203,0.9763940762845317,0.9902883919446996
TinyImageNet (Resize),0.033839567832025276,0.04122451330139639,0.989536540617674,0.9849058132710259,0.9930261739851353
LSUN (Crop),0.131,0.08605,0.97216958,0.947439074957519,0.985989633861741
LSUN (Resize),0.0508,0.0475,0.9861211400000001,0.981184796523889,0.9900642503316053
iSUN,0.04593837535014006,0.04737226890756303,0.987748705882353,0.9840378871259692,0.99086121283089
DTD,0.20301418439716312,0.11537801418439717,0.9522130496453901,0.9412633701606501,0.9617623675945366
Stanford Dogs,0.9267700082608484,0.4334132708100491,0.5880396229165654,0.2612630422272772,0.8394307071460575
food,0.8780161786983772,0.34590888640256645,0.7023217541115082,0.1458052272147733,0.9742613221103547
CUB,0.8142614601018676,0.3049723259762309,0.7548568760611205,0.6003147919474145,0.8517337196335396
Calt,0.7215173099221468,0.2936904257081332,0.7755574888189499,0.26196257485954855,0.9733234733456066
places,0.8059086790587847,0.335663122923588,0.723402366766426,0.29115273566910305,0.9432413618877672
SVHN,0.03353564843269822,0.04046140135218193,0.9926289643515673,0.9669820471683837,0.998547072079478
Cifar100,0.7944,0.3608,0.6866350800000001,0.6577202410348943,0.6929044071524236
All,0.6320673099776584,0.2914680737113974,0.7849256053619813,0.06422348750110342,0.9954369844355029
