,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0224,0.03425,0.9950263,0.9914803505542534,0.9972781088429787
TinyImageNet (Resize),0.024462338191825504,0.03390629905208439,0.9950882071144634,0.9913250583695711,0.9973734969361574
LSUN (Crop),0.0283,0.03795,0.99413216,0.989728361215482,0.9969403554962756
LSUN (Resize),0.0144,0.02845,0.9966354,0.9942373908843748,0.9981754182551963
iSUN,0.014677871148459384,0.029005602240896357,0.9964888515406163,0.9944565542846784,0.9979163927642528
DTD,0.10762411347517731,0.07391985815602836,0.9812007092198581,0.9801715376598117,0.9832154702023624
Stanford Dogs,0.8117984352981195,0.344899538364352,0.7032328393022013,0.3377514294031894,0.8994307674089653
food,0.4096359297800925,0.1272516965850471,0.9375847559828511,0.7457747030372216,0.9955114844835319
CUB,0.7728353140916808,0.34467707979626483,0.7103246179966045,0.5005226732923312,0.8487342766150583
Calt,0.47165810833195293,0.1664384296836177,0.9046491767434156,0.5459864274097339,0.989539348950381
places,0.3714340627659867,0.13701120507399578,0.932281041157574,0.744083975085967,0.9881845468368821
SVHN,0.027082052858020896,0.03429031960663799,0.9949063153042409,0.9756167165066165,0.9990222877179671
Cifar100,0.5002,0.1696,0.9027882,0.9076466767108631,0.8916091026963883
All,0.3613284530430511,0.1502590990477096,0.9207989257023339,0.19166584045244378,0.9984949592691079
