,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0437,0.04595,0.99147058,0.9859600111896811,0.9953926993625972
TinyImageNet (Resize),0.051880542248496586,0.049901569666700646,0.9907878503720314,0.9842802969057398,0.9950965735441346
LSUN (Crop),0.0489,0.04865,0.99071212,0.9844807476871678,0.995079190846191
LSUN (Resize),0.038,0.04345,0.99301024,0.9882480722797944,0.996294703183474
iSUN,0.03887955182072829,0.04417002801120448,0.9928903305322129,0.9890776294572168,0.9958117428214561
DTD,0.14131205673758865,0.07764751773049645,0.9774541489361702,0.9778153736940383,0.9786479347162708
Stanford Dogs,0.7915836532387385,0.3248422420914524,0.7319299382866028,0.38582122093849963,0.9098501510636549
food,0.3574561620642197,0.1146604621919463,0.9478846163747439,0.7812561152407963,0.9963822837549099
CUB,0.7904923599320883,0.3442266553480475,0.7092606791171477,0.4970941704437012,0.8465421867034683
Calt,0.5033294682789465,0.16925378499254595,0.900154918005632,0.5361245260471976,0.9888392230267826
places,0.40731995277449823,0.14282710249581287,0.9273686279893468,0.7348063809816774,0.9871462964222587
SVHN,0.034419176398279044,0.04044308543331285,0.9937592885679164,0.9724120785775279,0.9987825649690141
Cifar100,0.4886,0.163,0.9079526,0.9131353599441183,0.8941020418338753
All,0.35880591339069257,0.14666349923151273,0.9238493010727131,0.2119915976553747,0.9985440686332129
