,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0344,0.04105,0.99269828,0.9865238664869662,0.9961500241172472
TinyImageNet (Resize),0.024768117419223322,0.0347390480073387,0.9949899092854959,0.9909383804314036,0.9973475594266836
LSUN (Crop),0.0859,0.0654,0.9835672,0.9672713985607104,0.9916560465109416
LSUN (Resize),0.0212,0.0324,0.9953516800000001,0.9914443880776297,0.9975411431396335
iSUN,0.029243697478991595,0.038427170868347335,0.9943100504201681,0.9908959589081717,0.996641404367526
DTD,0.2705673758865248,0.1362517730496454,0.9286995035460993,0.8888434216158256,0.9439534044541082
Stanford Dogs,0.8201564701880558,0.3623496088245298,0.6764881286748627,0.3076201769985986,0.8910214532043405
food,0.32129667217838154,0.13353842589383844,0.940678216184639,0.6726728655084739,0.9962748456656733
CUB,0.7291171477079796,0.34601782682512733,0.7017531239388795,0.4581306880443868,0.8529718784116529
Calt,0.5158853735298989,0.2065436475070399,0.8696826271326817,0.3867697242284317,0.9861963144726091
places,0.41292111693803024,0.16405184920787458,0.91190235852942,0.6531352814677542,0.984794331345125
SVHN,0.02308696988322065,0.029129963122311003,0.9951793484941609,0.9736254115693145,0.9990954437928198
Cifar100,0.5176,0.1982,0.88112476,0.8814902228302682,0.8755789908836934
All,0.3509182234475765,0.16465473847665224,0.9089101658981795,0.14185774324197564,0.9983109204285239
