,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0301,0.03795,0.9935209,0.9879317422276711,0.9964207578743668
TinyImageNet (Resize),0.017531342370808275,0.029843777392722454,0.9960488635205381,0.9929179365295893,0.9977831390825002
LSUN (Crop),0.0758,0.06085,0.9852534799999999,0.9696717586969182,0.9925938015954208
LSUN (Resize),0.0162,0.027700000000000002,0.9962499999999999,0.9931974108700538,0.9978378623419367
iSUN,0.0196078431372549,0.031903081232493,0.9954404033613444,0.9926681894324767,0.997168348963839
DTD,0.2297872340425532,0.12755602836879432,0.9371678014184396,0.9016626733773323,0.9518578903516962
Stanford Dogs,0.8568929491228923,0.39367001797949364,0.6365136303999223,0.27591573826450455,0.8740052052524538
food,0.34292107686366924,0.1501348485598582,0.9294797964295969,0.5945567935073075,0.9955926637391248
CUB,0.7084040747028862,0.3407753820033956,0.71214259762309,0.4792204263290589,0.860425043651038
Calt,0.5296670531721054,0.22075714758986253,0.8575675368560545,0.3709159680607985,0.9849882921556891
places,0.4456769446198622,0.17617556354850222,0.9026834408720243,0.6325885856501327,0.983052799329863
SVHN,0.023240626920712968,0.02855832821143208,0.9946525737553781,0.9696883433845603,0.9989993753369067
Cifar100,0.5666,0.2213,0.85916412,0.858209850306739,0.8549874710417631
All,0.3648270507518499,0.17737693745939692,0.8996578669328642,0.12988891938169722,0.9981397212009983
