,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.053,0.04965,0.9868810200000001,0.9804960805789036,0.9916073796985558
TinyImageNet (Resize),0.026602792783610232,0.038029242686780144,0.9925107328508818,0.9888501886404665,0.995118190720304
LSUN (Crop),0.1062,0.0696,0.9805333200000002,0.9666124734141135,0.9894627597701247
LSUN (Resize),0.0232,0.03565,0.9927422,0.9896068936998367,0.994876583785367
iSUN,0.02823529411764706,0.03884117647058823,0.9914687955182073,0.9884190501981291,0.993850667913844
DTD,0.26790780141843973,0.1301241134751773,0.9348758510638299,0.9137608612007,0.9444162000743177
Stanford Dogs,0.948831332912192,0.455168492152194,0.5566363671704164,0.234937123737332,0.8219049933893511
food,0.6274047743992396,0.22062983157915583,0.8570089844252798,0.4253774265905074,0.9889771717971727
CUB,0.7742784380305603,0.3343353140916808,0.7232587096774193,0.5244831035443137,0.8480243485320771
Calt,0.6423720390922644,0.24795355308928274,0.8282678548948152,0.3613191169927089,0.9798704966770845
places,0.6444633590510969,0.21522788501139453,0.8604188517613465,0.5878175169486402,0.9713217290791564
SVHN,0.03238322065150584,0.03719154886293792,0.9922193146896129,0.9600940149399897,0.9985045406254575
Cifar100,0.7244,0.2782,0.79665692,0.8039866500241779,0.7770519036432889
All,0.5152128788959135,0.21850091743119265,0.8592593177100663,0.11090902712177436,0.997152808606287
