,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0377,0.04335,0.99195888,0.9857912227756278,0.9957852810337582
TinyImageNet (Resize),0.030883701967179697,0.03831120171236367,0.993966282743859,0.9893309857872353,0.9968346931055392
LSUN (Crop),0.0867,0.0655,0.9833888,0.968565808004274,0.99137827520811
LSUN (Resize),0.0252,0.035,0.99455776,0.9902415778908462,0.9971677287383902
iSUN,0.03282913165266106,0.04063501400560224,0.9933297927170868,0.9895614186432676,0.9960969418125817
DTD,0.3148936170212766,0.1445567375886525,0.9226514539007091,0.8838366061921588,0.9367238580943573
Stanford Dogs,0.795471111327081,0.34315211137567425,0.7025044851547693,0.335044867949474,0.9010244937679354
food,0.35308969573353666,0.13439933265344517,0.9387165876214145,0.7013844924042086,0.9959958509413279
CUB,0.7652801358234296,0.3510227504244482,0.6885729711375213,0.4381127281805449,0.8411565808502446
Calt,0.49812820937551766,0.19191459334106342,0.8797444194136163,0.4073822667139001,0.9871311385032252
places,0.3971884352434035,0.15694720628209002,0.9171456961643007,0.6714069222792116,0.985610691758841
SVHN,0.022357098955132146,0.030444929317762756,0.9954683159188691,0.976407981972352,0.9991431838106245
Cifar100,0.4882,0.1804,0.894383,0.8968557318091196,0.8867629483243832
All,0.3564354866821949,0.16130578821441588,0.9120291201216904,0.1507692269052745,0.9983465495721232
