,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0319,0.04,0.9919758599999999,0.9864130290071904,0.9952622927562909
TinyImageNet (Resize),0.017633268779940883,0.0295774029150953,0.9954943838548567,0.9925011880499163,0.997270925565161
LSUN (Crop),0.0777,0.06235,0.9846281599999999,0.9706668088400568,0.9920272219995656
LSUN (Resize),0.0153,0.02735,0.99574,0.9929693081715881,0.9972483098775174
iSUN,0.01915966386554622,0.030918207282913168,0.9947370756302519,0.9920521013621572,0.9965020420435358
DTD,0.23138297872340424,0.12378723404255321,0.9397352127659573,0.9118287802228956,0.9520969528032664
Stanford Dogs,0.9039311919918364,0.42843673161961227,0.5948828125759269,0.252293032989832,0.8493523259722561
food,0.45610265651454995,0.1811807924987871,0.8996151430240502,0.5037363095816114,0.9932378639731678
CUB,0.7247028862478777,0.3340001697792869,0.7196570967741935,0.5015861326800148,0.8585689505457674
Calt,0.5690906079178399,0.23424431008779195,0.844603495113467,0.36597298551856744,0.9829961479020508
places,0.5229126053650367,0.19223784355179702,0.8858518876472363,0.6132166324359793,0.9787375613741605
SVHN,0.025545482483097726,0.030722372464658882,0.9936768208358943,0.9651135629324572,0.9988056748198393
Cifar100,0.6412,0.2476,0.82957232,0.8315132149601272,0.8198548729394725
All,0.42266482863526167,0.19558278113165692,0.8826164579867217,0.11998240500494692,0.997748575746391
