,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0848,0.05845,0.98172512,0.9746090127690574,0.9875511961225377
TinyImageNet (Resize),0.04107634288044032,0.04467459993884415,0.989091652227092,0.9848119790824468,0.9923437178268499
LSUN (Crop),0.132,0.07725,0.9770756599999999,0.9626616288923368,0.9873631966560681
LSUN (Resize),0.0362,0.04215,0.9890923599999999,0.9855432302732752,0.9915973965442195
iSUN,0.04593837535014006,0.04570672268907563,0.9877898711484594,0.9844495574062642,0.9904993609704197
DTD,0.30336879432624114,0.13971560283687942,0.9288652482269504,0.9106302941406585,0.936868371879997
Stanford Dogs,0.9696778269109286,0.4665256960979639,0.5322182418970796,0.2248596985274941,0.8043317853294103
food,0.7451706486331278,0.24710017228234504,0.8241194134479242,0.379422136191767,0.9850999469530195
CUB,0.81723259762309,0.3355001697792869,0.7212922580645161,0.5362379689256446,0.8374915703548633
Calt,0.7022362100380984,0.2586761802219646,0.8135297763789962,0.3528005574408093,0.9770471258966773
places,0.7228796573405453,0.23071270146344142,0.8402649625216223,0.5656570860806794,0.9652900523291037
SVHN,0.03641671788567916,0.0407680393362016,0.9913328595574677,0.9574203097439941,0.9983164865448457
Cifar100,0.7684,0.2932,0.77665512,0.7873334941929837,0.7515233475916439
All,0.5812235584921804,0.23729335298125526,0.8408245789165121,0.10407764460198003,0.996659758704179
