,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.2818,0.1046,0.95278102,0.9392258348004304,0.961683167313183
TinyImageNet (Resize),0.16695545815920906,0.08140121292426868,0.9670019366017736,0.9563151177141633,0.9708033646194938
LSUN (Crop),0.298,0.12635,0.9460276,0.9170335875524869,0.9691364493467428
LSUN (Resize),0.1563,0.07555,0.9676922600000001,0.9597265037602422,0.9683666034654287
iSUN,0.17680672268907563,0.0836453781512605,0.9662321792717087,0.9597063271220037,0.9666493035974435
DTD,0.39893617021276595,0.1671035460992908,0.9049883333333334,0.8888938520206274,0.9085834156405811
Stanford Dogs,0.9912046260751252,0.48601823703775693,0.4738828028572817,0.20099841870845958,0.7678756117993057
food,0.9114033090091785,0.29833980712298386,0.7517316454944206,0.2848381398989229,0.9744911179198661
CUB,0.9093378607809848,0.3873981324278438,0.6521118845500848,0.4720538537973469,0.7817549685296178
Calt,0.8377339738280603,0.32348931588537355,0.7293491734305119,0.20806049374518598,0.9628837268508679
places,0.8793553169874523,0.29936618708986573,0.7537231102935119,0.3998877287561732,0.9389188268758764
SVHN,0.1452443146896128,0.09325897357098956,0.9621474339274738,0.832797181933499,0.9920688491983778
Cifar10,0.9742,0.4941,0.4814146,0.5010748005117365,0.47133499426253744
All,0.7201248593747525,0.29596273232875414,0.7737872269493432,0.06479217461314137,0.994741547346786
