,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.2424,0.11829999999999999,0.95594442,0.9305824937327091,0.9759037745639204
TinyImageNet (Resize),0.2789725817959433,0.13202117011517683,0.949005646723066,0.9222556804612462,0.9714864286558486
LSUN (Crop),0.2621,0.12445,0.95149598,0.9225815513337294,0.9736348606999147
LSUN (Resize),0.2926,0.12940000000000002,0.94738086,0.9184812737246485,0.9708341689116732
iSUN,0.32985994397759105,0.13862913165266105,0.9401093333333334,0.9168764864298626,0.9623038091454452
DTD,0.5315602836879433,0.24004113475177305,0.8300133333333334,0.7655319060132648,0.8612139381366462
Stanford Dogs,0.8597113562369406,0.33197839059235146,0.7173901744496817,0.41537935369169426,0.8945792830200742
food,0.5512936027802806,0.1872404596176124,0.8905250730219708,0.5580140147207255,0.9922483142844677
CUB,0.7091680814940577,0.2692108658743633,0.8061610356536503,0.6911148971934649,0.8928630006863353
Calt,0.7627629617359616,0.30230584727513665,0.7564988040417424,0.21323369692687677,0.9702846993663754
places,0.7276022075176409,0.2712355701381072,0.7984336618983554,0.43518820439409295,0.9601274643947864
SVHN,0.09845574677320221,0.07274563614013521,0.9788043792255687,0.9024673422601462,0.9958688727862535
Cifar10,0.8928,0.3696,0.66416764,0.6528556849071431,0.6284963948553559
All,0.56392704916734,0.2280202516201613,0.8514567260857854,0.1135233391333873,0.9968976837851684
