,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1981,0.08449999999999999,0.9660895199999998,0.9548908175621805,0.9738777603999297
TinyImageNet (Resize),0.12700030577922738,0.07409596371419835,0.9737604729385383,0.9624283195939217,0.9794099026014291
LSUN (Crop),0.2481,0.10785,0.9569630599999999,0.93353400896048,0.9753882238828143
LSUN (Resize),0.1202,0.0699,0.97480224,0.9655101616508748,0.9784383681646687
iSUN,0.13725490196078433,0.07604621848739496,0.9731675742296919,0.9658242577847421,0.9761372200764122
DTD,0.3898936170212766,0.1716,0.8973726241134751,0.8682664389202343,0.9087765892748737
Stanford Dogs,0.9779386753486564,0.4709891928665144,0.5143254093979299,0.2199005114579845,0.7929171460327784
food,0.8216382664831628,0.27957787558046276,0.7861809162648394,0.2937883621966679,0.9808006458996777
CUB,0.865025466893039,0.3851641765704584,0.6648155178268251,0.47901199011063234,0.8018735287993595
Calt,0.8197780354480703,0.3400150240185522,0.7147121285406659,0.18267091725079382,0.9626767681401576
places,0.8138711183108646,0.29073439224623154,0.7735242634743693,0.4004880169345298,0.9484694559110673
SVHN,0.12415488629379226,0.08467572218807622,0.9666280424093423,0.8392052779186612,0.9932258559184856
Cifar10,0.9706,0.4758,0.51725996,0.5297736551262611,0.49454147673376553
All,0.6681846270856111,0.28392388173218613,0.7896113742453772,0.06611633191657196,0.9953344343321183
