,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.2682,0.1199,0.94547158,0.9112109080461828,0.9674121257610415
TinyImageNet (Resize),0.13372744878197942,0.07784342065029048,0.9718869024564265,0.9561151933891655,0.9823511242746221
LSUN (Crop),0.4665,0.2071,0.87293374,0.7652534485746942,0.9329933082963088
LSUN (Resize),0.1571,0.0806,0.96895026,0.954892831029221,0.979377379805123
iSUN,0.15596638655462186,0.08538207282913166,0.9687981400560224,0.9563447783744908,0.9784463342963556
DTD,0.40124113475177303,0.2022404255319149,0.8748610992907802,0.837302465391661,0.9024425211061045
Stanford Dogs,0.9883862189610768,0.49893247485300546,0.42567990670100586,0.17430793824708493,0.7508865659421503
food,0.9890887848153905,0.495474853708526,0.42432236601087164,0.042953705286211154,0.9337245369193108
CUB,0.901018675721562,0.3955565365025467,0.6389535993208829,0.43007118999470767,0.7812875208732747
Calt,0.875931754182541,0.39844225608746064,0.6413166075865496,0.13537626633929528,0.951595919816642
places,0.9521979078004448,0.45538024765931745,0.5484649295735977,0.15518509677053502,0.8878103092335836
SVHN,0.22095881991395205,0.1113281499692686,0.9565001536570374,0.858611068726505,0.9903407757410594
Cifar10,0.9822,0.5,0.41118319999999997,0.44113529065687485,0.43169686091418463
All,0.7699355104498423,0.4037190901744545,0.6204279989225334,0.022709135882628993,0.990951801716206
