,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1412,0.07995,0.9728414799999999,0.9599718266435505,0.9821825657678578
TinyImageNet (Resize),0.12098664764040362,0.07658667821832638,0.9753436754663133,0.9609645483269014,0.984409309961554
LSUN (Crop),0.1965,0.10405,0.96268656,0.938522186439414,0.9794858693621147
LSUN (Resize),0.1191,0.07605,0.97583132,0.9619558123135306,0.9844852912355402
iSUN,0.13389355742296918,0.0807484593837535,0.9735438207282914,0.9624322778859595,0.9812420747081281
DTD,0.39397163120567374,0.19183475177304965,0.8727597163120567,0.8151621468362358,0.8988313374383368
Stanford Dogs,0.945381213858788,0.44354260168132564,0.566048185043005,0.2508081255892317,0.8245510151906401
food,0.6845054803608028,0.2525174589344238,0.8249923482875728,0.3367044848287195,0.9865048145292391
CUB,0.799660441426146,0.37012801358234293,0.6908452461799659,0.5055797572813325,0.8298136531741895
Calt,0.7873447076362432,0.34628270664237204,0.7086728573794929,0.17174113164646612,0.9636801170952246
places,0.7443507866340847,0.2846464155295022,0.7838646989374262,0.40289134444573893,0.9552977015356663
SVHN,0.09330823601720958,0.07090626920712968,0.9733375230485556,0.8593216833041322,0.9948422863574449
Cifar10,0.9522,0.4508,0.55902444,0.5619138645718795,0.5293874394791107
All,0.5989827446879308,0.26879058484257895,0.8076795164075994,0.07103621181510038,0.9959411651888428
