,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0006,0.008173724646588814,0.9996116472034419,0.9997111387600361,0.9994891829290535
TinyImageNet (Resize),0.0010192640913260626,0.00992320076865167,0.9995336882443894,0.9996562858780826,0.9993825785484152
LSUN (Crop),0.0045,0.01715417947141979,0.9984781960663799,0.9988785130956355,0.9979993916028703
LSUN (Resize),0.001,0.009765795943454211,0.9995777735095267,0.9996804912217654,0.9994559994906892
iSUN,0.0004481792717086835,0.007471709027802885,0.9997203355835265,0.9998113753839227,0.9995934100363184
DTD,0.004964539007092199,0.01723650542485626,0.9986003451289629,0.9993966211728801,0.9969110196065115
Stanford Dogs,0.0057825939064094466,0.019674130152132638,0.9977701734837907,0.9969721868139912,0.9984830564007181
food,0.004990247235066388,0.018879622042848654,0.9981449035780753,0.9898381601672361,0.9997475454196797
CUB,0.008404074702886248,0.02324143564196293,0.9972987210203871,0.9977194573457774,0.9969117698401164
Calt,0.014378002319032633,0.028175299645222016,0.9960185545008812,0.9856335159542555,0.9990892912694311
places,0.004091046374344471,0.016759179135847437,0.9985915727850194,0.9966305930463464,0.9994762043679648
Cifar10,0.0116,0.024838905961893053,0.9969167025199754,0.9988236564951485,0.9923119107257112
Cifar100,0.0146,0.027386416717885678,0.9958285955746773,0.9983401556539233,0.9903235767877273
All,0.006698967483014909,0.020458780337703174,0.9978565802442665,0.9735787564039164,0.9998999438118961
