,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.028,0.03871988322065151,0.9923473878303626,0.9946030648339386,0.989242254660469
TinyImageNet (Resize),0.029049026602792783,0.03921156570929974,0.9919081973829033,0.9944884494489011,0.9882458614643741
LSUN (Crop),0.0607,0.05510829748002458,0.9867549170251996,0.9901034181492875,0.9828334541441358
LSUN (Resize),0.0532,0.050405777504609714,0.987681492009834,0.9914075124748449,0.9823169670051026
iSUN,0.0373109243697479,0.04326621060224951,0.9906508257882133,0.9941832850814245,0.9850486022316585
DTD,0.04804964539007092,0.04875782997031477,0.9878010479192003,0.9942901157403323,0.9761125349969976
Stanford Dogs,0.056805481315904564,0.05138874780990748,0.9859802494669305,0.9831889596392664,0.989082853981835
food,0.02048575700268325,0.03457654261384008,0.9931179867513759,0.9732984765100311,0.9989587684977675
CUB,0.04252971137521223,0.046066236357394263,0.9892427225522615,0.9914012050859207,0.9867186579260655
Calt,0.07275136657280105,0.05893118231467312,0.9831219897906772,0.9480478517394465,0.9956782363790498
places,0.048323769254001815,0.049040470844550654,0.9884899947714165,0.9767357622753239,0.9952345100500746
Cifar10,0.0404,0.04485341118623233,0.9892335433312845,0.9960099418983692,0.9705673913133556
Cifar100,0.058,0.05252894898586355,0.9859676551936079,0.994525647930979,0.9639262437513969
All,0.04309001334360984,0.046404521709507554,0.9890120111938063,0.9082399114415944,0.9994284391957431
