,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0014,0.011915181315304241,0.9992117240319608,0.9994187093234224,0.9989586809345816
TinyImageNet (Resize),0.0019366017735195189,0.01418822114735558,0.9990541893289,0.9993124766557873,0.9987345924082771
LSUN (Crop),0.0094,0.02368220651505839,0.9974249692685925,0.9981098954778039,0.9966127081221099
LSUN (Resize),0.0026,0.015453564843269822,0.998882897971727,0.999168240484768,0.998545486156428
iSUN,0.0013445378151260505,0.012111858879999448,0.9992783025933176,0.999520428478331,0.9989389668245697
DTD,0.010638297872340425,0.023288467657918026,0.9975721915634658,0.9989449598424365,0.9947820801213967
Stanford Dogs,0.009475679090334808,0.026148796729278653,0.9964080511479098,0.9952600511734437,0.9975067670553436
food,0.005891264096953375,0.021096437875171264,0.9976348231305368,0.9880180648916917,0.9996732161288209
CUB,0.011120543293718166,0.0272035306160995,0.9964088145920443,0.996992405056555,0.9958666004096031
Calt,0.022594003644194137,0.03475902392122171,0.9941410472339239,0.9800825854428308,0.9986325235424671
places,0.007111281952719585,0.021875323326960017,0.9976720733108058,0.9946189507981644,0.9991227689744434
Cifar10,0.0144,0.027627904118008605,0.9960290565457898,0.9984944347386597,0.9899690972933864
Cifar100,0.0188,0.03276263060848187,0.994618500307314,0.9978976024248694,0.9871542998723967
All,0.00996526587057717,0.025301364777379733,0.9968947461329141,0.9657765404118241,0.999852917359335
