,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0002,0.006880454824830977,0.9997034111862323,0.9997793238043988,0.9996093287524098
TinyImageNet (Resize),0.0007134848639282438,0.007946649888172258,0.99965995295097,0.9997479883263589,0.9995521433571828
LSUN (Crop),0.0028,0.015282851874615857,0.9987246619545176,0.9990605975954666,0.9983189857075997
LSUN (Resize),0.0004,0.007003626306084819,0.9997555239704978,0.999814259241679,0.9996853336612711
iSUN,0.0003361344537815126,0.005238826938273773,0.9998262599446662,0.9998823449432088,0.9997481337985366
DTD,0.0031914893617021275,0.014848882117808089,0.9988436218162479,0.9995029682291994,0.9974238345520587
Stanford Dogs,0.003936051314446766,0.017399503488930913,0.9982327910016696,0.9975789944559211,0.9988012216597802
food,0.004643702288186778,0.018118856384757305,0.9982779174725711,0.9902671866085727,0.9997663303080079
CUB,0.0069609507640067915,0.021984213239445143,0.9975687947862002,0.9979473227414266,0.9972146870645062
Calt,0.01113135663408978,0.025199096200351878,0.996677872236146,0.9876771487375078,0.9992452273850428
places,0.0024985585239285027,0.014725492109645098,0.9988800852733486,0.9972974251454685,0.9995841002136313
Cifar10,0.0096,0.02342181929932391,0.9972013060848187,0.9989317356828211,0.9930146058071118
Cifar100,0.0132,0.025361462814996925,0.9962193607867241,0.9984809258491139,0.9913189690446021
All,0.00533404861419991,0.018965331264409593,0.9981572001953692,0.976157945841775,0.9999142533584338
