,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0133,0.03015,0.9650070799999999,0.9735358734130504,0.9383436830301124
Gaussian,1.0,0.32575,0.55181382,0.6075505108103303,0.6245009699327722
Fashion MNIST,0.3541,0.14705,0.9366354600000002,0.9098682255352057,0.9629454204208321
Rotated MNIST,0.9281596452328159,0.3042410199556541,0.726019467849224,0.6801463326474559,0.7642016216797431
All,0.5649923116350589,0.29422214249103024,0.7965981342901076,0.5159191051395642,0.9639549149591744
