,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
Uniform,0.0,0.0012499999999999998,0.9993985599999999,0.9995177267546699,0.9988034521690191
Gaussian,0.0105,0.03,0.9852474,0.9863217426527887,0.9772408721480279
Fashion MNIST,0.0163,0.030199999999999998,0.99465932,0.9918256615867104,0.9969634974444894
Rotated MNIST,0.8274944567627495,0.2775356984478936,0.7706727937915743,0.672798229356209,0.8216286406117015
All,0.1981547924141466,0.12391055868785239,0.9416843003587905,0.6692511826792661,0.9919739902675296
