,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0008,0.012263952059004303,0.9991129686539644,0.9993814648343832,0.9987123591465155
TinyImageNet (Resize),0.002038528182652125,0.01311158429661725,0.9990811431319299,0.9993561376082803,0.9986908999049732
LSUN (Crop),0.008,0.02469499078057775,0.9972398816840811,0.9979988394538115,0.9962407257785361
LSUN (Resize),0.001,0.014410295021511985,0.9990038414259371,0.9992994640572048,0.998572786988666
iSUN,0.0012324929971988796,0.011914971274311814,0.9991978672231031,0.9994887984259189,0.9987341580158766
DTD,0.012411347517730497,0.026199124263862915,0.9966075441246344,0.9985328014575787,0.9924715519373228
Stanford Dogs,0.014918120414014286,0.030308072242805566,0.9949555557155085,0.9937169112306039,0.9960625409731966
food,0.009703258512629088,0.02524487170531193,0.9967206552697874,0.9844626281181761,0.9995180692099732
CUB,0.010865874363327675,0.027788796967138783,0.9959510327109484,0.9967786094520249,0.9948504711040813
Calt,0.04091436143780023,0.04495871291143663,0.9910142855993856,0.9725993712014964,0.9977826704478663
places,0.00864885642898328,0.02520010220907864,0.9967999669979734,0.9931595900824053,0.9986947741831278
Cifar10,0.0084,0.026131530424093424,0.9960090043023971,0.9985556271913675,0.9882749056501415
Cifar100,0.0284,0.038540012292563,0.9929362015980332,0.9973397384107844,0.9813584070252225
All,0.01556075416860483,0.030241856713335825,0.9956582648641829,0.9583486525362853,0.9997836910158195
