,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0201,0.03406567301782422,0.9935897280270436,0.9956767152375388,0.990156187264621
TinyImageNet (Resize),0.022016104372642953,0.03506616555667951,0.9934950261854395,0.9956110842795587,0.9899847429600317
LSUN (Crop),0.0428,0.04540460971112477,0.9909668715427168,0.9935663536867865,0.9874581987894285
LSUN (Resize),0.0269,0.03799428395820528,0.99244950829748,0.9948737852424825,0.9883229084564285
iSUN,0.02196078431372549,0.03414592511866456,0.9939427621079161,0.9962591665922049,0.9897758526124714
DTD,0.04060283687943263,0.04461453878913896,0.9899975534748287,0.9955609618924589,0.9782273865578146
Stanford Dogs,0.06890519461587055,0.055518864027760795,0.9847098218319061,0.9820431193699786,0.9875572115739396
food,0.04076358703723873,0.04414866844554262,0.9898334768613833,0.960348404898832,0.9984013747948777
CUB,0.05823429541595925,0.05122962152889013,0.9875362881051193,0.990197215974928,0.9840623082522404
Calt,0.1111479211528905,0.07042593771516949,0.978639566862777,0.9397885585345562,0.9943867289477207
places,0.04417780950550507,0.04528281459292373,0.9894324809941757,0.9793257268775429,0.9955069908908273
Cifar10,0.0498,0.04664179471419791,0.988870221266134,0.9959908513347694,0.9677688424961577
Cifar100,0.0792,0.059387461585740625,0.9841336201598033,0.9939889170553222,0.9581620365409008
All,0.05678334119915932,0.05115131981525925,0.987430893148717,0.9048072316740167,0.999326624550767
