,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0002,0.005100583896742471,0.9997482713583282,0.9998209304777128,0.9996522176576388
TinyImageNet (Resize),0.00010192640913260625,0.005759339375286962,0.9997756068489786,0.9998395688264655,0.9996914039948188
LSUN (Crop),0.0025,0.015103564843269822,0.9987769668100799,0.9991043398476912,0.9983408076644721
LSUN (Resize),0.0,0.004531069452980947,0.9998152427781193,0.9998681468729078,0.9997454832784386
iSUN,0.00011204481792717087,0.004235239885751473,0.9998212671669774,0.9998840216295733,0.9997281207481442
DTD,0.007446808510638298,0.019059847781453924,0.9981513886890985,0.9992029076752103,0.9958823054705791
Stanford Dogs,0.002867000340152583,0.017784618619185996,0.9981548163458296,0.9976353896627563,0.9985899964990296
food,0.0034555481845995424,0.016105765408246715,0.998611067996269,0.9926478646975228,0.9998029272857574
CUB,0.002801358234295416,0.01827777853142482,0.9981372540835205,0.9985058912196704,0.9976631256885702
Calt,0.016763293026337583,0.030805899473223868,0.9956820208998006,0.9855371768146863,0.9989699498349174
places,0.0021141649048625794,0.015301078436903462,0.9987487673812263,0.9972193703764025,0.9995001885250047
Cifar10,0.0022,0.0162419791026429,0.9982877842655195,0.9993809736673482,0.9948879375811648
Cifar100,0.0132,0.027335832821143206,0.9962061309157959,0.9985572553918465,0.9901510253736692
All,0.005697347915103405,0.019714197571149606,0.9980823596712495,0.9777644202689748,0.9999074362920204
