,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.0001,0.0036786416717885678,0.9998720651505839,0.9999078781772954,0.9998250823638986
TinyImageNet (Resize),0.0,0.0034975026150357302,0.9999165387470393,0.9999398832248838,0.9998857690128059
LSUN (Crop),0.001,0.01040482483097726,0.9992915027658266,0.9994772781581412,0.9990350075243071
LSUN (Resize),0.0,0.0017451137062077442,0.9999582513829133,0.99996988010213,0.9999430687243446
iSUN,0.0,0.0020808046635986907,0.9999457853208892,0.9999646896414871,0.9999175970255199
DTD,0.005673758865248227,0.016660400510882405,0.9984966402507335,0.999336398598799,0.9968083039799952
Stanford Dogs,0.0009232712959813402,0.0107251962567506,0.9991728362193539,0.9989371229320949,0.9993655237775603
food,0.002623840312088478,0.012775123186550436,0.9990480990876219,0.9945164645063922,0.9998670661167306
CUB,0.0015280135823429542,0.013835707495437248,0.998812262405523,0.9990422493131703,0.9985145955327182
Calt,0.010137485506046049,0.023353147548731197,0.99736745305201,0.9904018828196306,0.9993858220946967
places,0.0010158974218170836,0.009702550039390304,0.9993747296414952,0.9985787955405971,0.9997500632487079
Cifar10,0.0012,0.011667609096496619,0.9989952212661339,0.9996370024703867,0.9969346576921073
Cifar100,0.01,0.02208162261831592,0.9972129071911493,0.9989137860545112,0.9930627886061081
All,0.0035650865976511173,0.014335548724007332,0.9988239440118442,0.9841953603505451,0.9999440196670919
