,Inference Time (Seconds),Overhead,Mean,Std
Baseline,2.24 ± 0.0102,0%,2.2365379095077516,0.009947639756869239
X-OOD L,2.9 ± 0.0497,29%,2.8952160835266114,0.04839276385288203
X-OOD M,3.12 ± 0.048,39%,3.115843319892883,0.04672007611058252
Mahalanobis,30.11 ± 0.2802,1246%,30.109234952926634,0.2726764182835955
Gram,63.01 ± 0.7629,2717%,63.00715138912201,0.7423208877990988
