,Inference Time (Seconds),Overhead,Mean,Std
Baseline,1.45 ± 0.0041,0%,1.449018955230713,0.0040221004062181796
X-OOD L,1.79 ± 0.0575,24%,1.7944732427597045,0.055995292626293214
X-OOD M,1.99 ± 0.0163,37%,1.9895745992660523,0.015897079711830117
Mahalanobis,20.25 ± 0.0413,1298%,20.254478454589844,0.040165355456957354
Gram,28.7 ± 0.6036,1880%,28.696071457862853,0.5873773299936406
