,Inference Time (Seconds),Overhead,Mean,Std
Baseline,1.45 ± 0.0069,0%,1.4488826036453246,0.006667452741658192
X-OOD L,1.83 ± 0.0913,26%,1.8274619579315186,0.08888053039080228
X-OOD M,2.0 ± 0.0177,38%,2.0027392387390135,0.017249249757291085
Mahalanobis,28.02 ± 0.4577,1834%,28.021988224983215,0.44536332620769004
Gram,28.49 ± 0.1467,1866%,28.491233253479002,0.14278049235849963
