,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1728,0.09045,0.97029398,0.9552674749316068,0.9823242808066601
TinyImageNet (Resize),0.21455509122413619,0.10289858322291306,0.9622543471613496,0.9422907112102418,0.9777432117498278
LSUN (Crop),0.1659,0.091,0.9716779799999999,0.9557244857055383,0.9843010675416801
LSUN (Resize),0.1966,0.0974,0.9655744000000002,0.9480199608888029,0.9793172998415447
iSUN,0.21994397759103643,0.10296918767507002,0.962533131652661,0.9485378767859757,0.9750027237408424
DTD,0.4046099290780142,0.1662290780141844,0.9141417375886525,0.9093757763060326,0.9199553521885415
Stanford Dogs,0.9160794985179066,0.31661842655133876,0.719049020846494,0.5116071080933946,0.8806255700692018
food,0.7725278968682238,0.23640598334604,0.8287768151529253,0.47381335171298145,0.9856246449793129
CUB,0.7328522920203735,0.24855382003395587,0.8228068251273344,0.7443077458800029,0.8949097782195732
Calt,0.7975153221798906,0.3058522776213351,0.7500446049362266,0.20716811984698824,0.9683833953226646
places,0.7386672524093243,0.2532857087943769,0.8152497350429698,0.48034959403689714,0.9614952601633936
SVHN,0.13030116779348494,0.08517851874615857,0.9745565073755377,0.9045642140057761,0.9947908281724525
Cifar10,0.9038,0.3387,0.6931360799999999,0.6973617821176282,0.6425379182062159
All,0.6343458351159069,0.24199384417930314,0.837458425947933,0.12675265298590263,0.9964245451382147
