,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.233,0.0922,0.96153884,0.9491305213634776,0.9715437027761095
TinyImageNet (Resize),0.27428396697584345,0.10530523901742941,0.9537489144837429,0.9364248359254835,0.9661691094137743
LSUN (Crop),0.1615,0.07985,0.97362582,0.9610725505625887,0.9846535097009139
LSUN (Resize),0.2591,0.09855,0.95669232,0.9424354769203982,0.9661115081417702
iSUN,0.2741736694677871,0.09805014005602242,0.9566030476190475,0.9474110005948198,0.9627001084553433
DTD,0.40797872340425534,0.16205531914893617,0.9153950709219858,0.9112869250128615,0.9174069202294893
Stanford Dogs,0.9642839788133534,0.3484396958064046,0.6660453277613102,0.45105000218899116,0.8477955606532176
food,0.8964721724407656,0.275108885412438,0.7735142806221968,0.3929729271515832,0.9776203587331669
CUB,0.8235993208828523,0.26998624787775893,0.7933476910016978,0.7104719456514699,0.8651538403589855
Calt,0.8476395560708961,0.3198979128706311,0.7334846248136492,0.20074499893946868,0.9639154327073671
places,0.810356662365119,0.26005606930067815,0.8022751819005518,0.4730267114900163,0.9541934855663721
SVHN,0.1166641057160418,0.07997366318377383,0.9756389290104486,0.9040406477902927,0.994997041415427
Cifar10,0.9258,0.3619,0.66680472,0.6765719421041154,0.609725501813773
All,0.7048343394970766,0.2673582988702445,0.809314073933229,0.1135474959098901,0.9955809730102666
