,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.5372,0.29285,0.7439789000000001,0.6086970016310984,0.8717673557668782
TinyImageNet (Resize),0.4799714606054429,0.2636647130771583,0.7923882376923861,0.6882152466001423,0.8958120793279439
LSUN (Crop),0.5604,0.2959,0.7094284599999999,0.49686503705162816,0.8601018422315257
LSUN (Resize),0.4936,0.2703,0.7898391199999999,0.7007780575811262,0.8942271358211978
iSUN,0.4841456582633053,0.26650532212885153,0.7920397983193278,0.7015793374278769,0.8876929081729217
DTD,0.6051418439716312,0.32257872340425536,0.6830956737588653,0.6319759366834389,0.767518539103638
Stanford Dogs,0.9693376743281986,0.49929718645220855,0.4770684192623549,0.18430213381733185,0.7881690538748353
food,0.9635929780092478,0.4695557868055487,0.5156778636989218,0.05910324282476139,0.9519556533948463
CUB,0.9262308998302207,0.45704363327674025,0.5313049575551783,0.3197153733689556,0.7296192400397431
Calt,0.8811330130859698,0.44226153718734473,0.5494358389928773,0.08852520761261344,0.9402443896702308
places,0.9364377694187419,0.4673186650558744,0.5210284011971116,0.12694264651330558,0.8894075440134607
SVHN,0.4159880147510756,0.2326918869084204,0.764241425937308,0.3786112342290475,0.950056231431636
Cifar10,0.9686,0.49929999999999997,0.47198076,0.4783959459837537,0.4710629406294826
All,0.8223796168655226,0.43327780577078484,0.5821075083582894,0.021417040129180952,0.9895259248180238
