,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1883,0.0953,0.9685507199999999,0.9511503505352396,0.9823168987390261
TinyImageNet (Resize),0.22902864132096626,0.10901224136173682,0.9601130160024463,0.9380990438375867,0.9774126898004225
LSUN (Crop),0.2117,0.1051,0.9637197200000001,0.9431307898551629,0.9800677369781137
LSUN (Resize),0.217,0.10475000000000001,0.9628188599999999,0.9425932882133328,0.9788452459559536
iSUN,0.244593837535014,0.11305490196078433,0.9580409635854341,0.9408552177256894,0.973424453151111
DTD,0.4276595744680851,0.1745560283687943,0.9079235815602837,0.9032104554997404,0.9144284093638222
Stanford Dogs,0.8899363428738034,0.29726446863307254,0.7460231595315613,0.5480532899224684,0.8957403699644783
food,0.7078923136330783,0.21451990752200562,0.8541908690357141,0.5190333202578751,0.9885707095496797
CUB,0.7064516129032258,0.2353925297113752,0.8369672665534804,0.7631091287588457,0.905935741531296
Calt,0.7938379990061288,0.30064263707139305,0.7538097863177076,0.20753019064525985,0.9692771040497474
places,0.7322698443205843,0.252410705362291,0.8148636720573295,0.4746291737155389,0.9625073044810359
SVHN,0.14835586969883222,0.08898617086662569,0.97320110633067,0.9058490870660822,0.9944278814553424
Cifar10,0.8882,0.3278,0.7072221600000002,0.7088004307834741,0.6610388714780077
All,0.6149165755573514,0.23016599958802744,0.847967850929315,0.13153776286553223,0.9967033084701954
