,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.2033,0.10450000000000001,0.9645832400000001,0.9443886803268411,0.9804265634278837
TinyImageNet (Resize),0.24034247273468556,0.11622677606767913,0.9567784323718276,0.9327118152951865,0.9757924425616741
LSUN (Crop),0.2629,0.12359999999999999,0.95265184,0.926262087589782,0.9739121023285515
LSUN (Resize),0.2339,0.1157,0.9575682599999998,0.9342327444745046,0.9761655666067356
iSUN,0.26476190476190475,0.12550140056022407,0.9515736022408963,0.9311075948210356,0.9697824312498374
DTD,0.43546099290780144,0.17755035460992907,0.9052245035460993,0.9017182444016235,0.9111083232602457
Stanford Dogs,0.8597113562369406,0.27805912823752366,0.7717698333252344,0.587502355817892,0.9083013903136212
food,0.6327217640127925,0.1969801687178827,0.8747942928997892,0.5590212859132322,0.9906458824772078
CUB,0.6753820033955857,0.22151595925297116,0.8509523429541597,0.782134851889469,0.9147790194283271
Calt,0.7812158356799735,0.2940977637899619,0.7588155043895974,0.21024162016321185,0.9701047322968978
places,0.7253507591773977,0.257108536284012,0.8104546058592571,0.4628150613699741,0.9619469666322885
SVHN,0.15361862323294406,0.08989342347879534,0.972806853103872,0.9092202815455097,0.9942529674441191
Cifar10,0.8688,0.3204,0.7197406799999999,0.7197971773885139,0.6770726265634577
All,0.5883348386176737,0.2207487521985074,0.8564002693666715,0.1364748833846412,0.9969143705800027
